VAR,Variable,UNIT,Measure,COU,Country,TIME_PERIOD,Year,Value,OBS_STATUS
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ISL,Iceland,2017,,0.0,A
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,NLD,Netherlands,2017,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,TUR,Türkiye,2017,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,SVN,Slovenia,2017,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ISL,Iceland,2017,,0.0,A
HOSPPUHO,Publicly owned hospitals,NBMILPNB,Per million population,NLD,Netherlands,2017,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,TUR,Türkiye,2017,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,SVN,Slovenia,2017,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LTU,Lithuania,2017,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LTU,Lithuania,2017,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LVA,Latvia,2017,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LVA,Latvia,2017,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,CRI,Costa Rica,2017,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,CRI,Costa Rica,2017,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,BGR,Bulgaria,2017,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,BGR,Bulgaria,2017,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ISL,Iceland,2018,,0.0,A
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,NLD,Netherlands,2018,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,TUR,Türkiye,2018,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,SVN,Slovenia,2018,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ISL,Iceland,2018,,0.0,A
HOSPPUHO,Publicly owned hospitals,NBMILPNB,Per million population,NLD,Netherlands,2018,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,TUR,Türkiye,2018,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,SVN,Slovenia,2018,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LTU,Lithuania,2018,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LTU,Lithuania,2018,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LVA,Latvia,2018,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LVA,Latvia,2018,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,CRI,Costa Rica,2018,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,CRI,Costa Rica,2018,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,BGR,Bulgaria,2018,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,BGR,Bulgaria,2018,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ISL,Iceland,2015,,0.0,A
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,NLD,Netherlands,2015,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,TUR,Türkiye,2015,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,SVN,Slovenia,2015,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ISL,Iceland,2015,,0.0,A
HOSPPUHO,Publicly owned hospitals,NBMILPNB,Per million population,NLD,Netherlands,2015,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,TUR,Türkiye,2015,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,SVN,Slovenia,2015,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LTU,Lithuania,2015,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LTU,Lithuania,2015,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LVA,Latvia,2015,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LVA,Latvia,2015,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,CRI,Costa Rica,2015,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,CRI,Costa Rica,2015,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,BGR,Bulgaria,2015,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,BGR,Bulgaria,2015,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ISL,Iceland,2016,,0.0,A
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,NLD,Netherlands,2016,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,TUR,Türkiye,2016,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,SVN,Slovenia,2016,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ISL,Iceland,2016,,0.0,A
HOSPPUHO,Publicly owned hospitals,NBMILPNB,Per million population,NLD,Netherlands,2016,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,TUR,Türkiye,2016,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,SVN,Slovenia,2016,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LTU,Lithuania,2016,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LTU,Lithuania,2016,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LVA,Latvia,2016,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LVA,Latvia,2016,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,CRI,Costa Rica,2016,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,CRI,Costa Rica,2016,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,BGR,Bulgaria,2016,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,BGR,Bulgaria,2016,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ITA,Italy,2021,,0.0,A
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,NLD,Netherlands,2021,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,TUR,Türkiye,2021,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,SVN,Slovenia,2021,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ITA,Italy,2021,,0.0,A
HOSPPUHO,Publicly owned hospitals,NBMILPNB,Per million population,NLD,Netherlands,2021,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,TUR,Türkiye,2021,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,SVN,Slovenia,2021,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LTU,Lithuania,2021,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LTU,Lithuania,2021,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LVA,Latvia,2021,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LVA,Latvia,2021,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,CRI,Costa Rica,2021,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,CRI,Costa Rica,2021,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,BGR,Bulgaria,2021,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,BGR,Bulgaria,2021,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ISL,Iceland,2014,,0.0,A
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,NLD,Netherlands,2014,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,TUR,Türkiye,2014,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,SVN,Slovenia,2014,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ISL,Iceland,2014,,0.0,A
HOSPPUHO,Publicly owned hospitals,NBMILPNB,Per million population,NLD,Netherlands,2014,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,TUR,Türkiye,2014,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,SVN,Slovenia,2014,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LTU,Lithuania,2014,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LTU,Lithuania,2014,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LVA,Latvia,2014,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LVA,Latvia,2014,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,CRI,Costa Rica,2014,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,CRI,Costa Rica,2014,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,BGR,Bulgaria,2014,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,BGR,Bulgaria,2014,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ISL,Iceland,2013,,0.0,A
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,NLD,Netherlands,2013,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,TUR,Türkiye,2013,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,SVN,Slovenia,2013,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ISL,Iceland,2013,,0.0,A
HOSPPUHO,Publicly owned hospitals,NBMILPNB,Per million population,NLD,Netherlands,2013,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,TUR,Türkiye,2013,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,SVN,Slovenia,2013,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LTU,Lithuania,2013,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LTU,Lithuania,2013,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LVA,Latvia,2013,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LVA,Latvia,2013,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,CRI,Costa Rica,2013,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,CRI,Costa Rica,2013,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,BGR,Bulgaria,2013,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,BGR,Bulgaria,2013,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ISL,Iceland,2011,,0.0,A
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,NLD,Netherlands,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,POL,Poland,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,TUR,Türkiye,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,SVN,Slovenia,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ISL,Iceland,2011,,0.0,A
HOSPPUHO,Publicly owned hospitals,NBMILPNB,Per million population,NLD,Netherlands,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,POL,Poland,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,TUR,Türkiye,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,SVN,Slovenia,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LTU,Lithuania,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LTU,Lithuania,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LVA,Latvia,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LVA,Latvia,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,CRI,Costa Rica,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,CRI,Costa Rica,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,BGR,Bulgaria,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,HRV,Croatia,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,BGR,Bulgaria,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,HRV,Croatia,2011,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ISL,Iceland,2012,,0.0,A
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,NLD,Netherlands,2012,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,TUR,Türkiye,2012,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,SVN,Slovenia,2012,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ISL,Iceland,2012,,0.0,A
HOSPPUHO,Publicly owned hospitals,NBMILPNB,Per million population,NLD,Netherlands,2012,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,TUR,Türkiye,2012,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,SVN,Slovenia,2012,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LTU,Lithuania,2012,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LTU,Lithuania,2012,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LVA,Latvia,2012,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LVA,Latvia,2012,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,CRI,Costa Rica,2012,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,CRI,Costa Rica,2012,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,BGR,Bulgaria,2012,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,BGR,Bulgaria,2012,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ISL,Iceland,2010,,0.0,A
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,NLD,Netherlands,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,POL,Poland,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,TUR,Türkiye,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,SVN,Slovenia,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ISL,Iceland,2010,,0.0,A
HOSPPUHO,Publicly owned hospitals,NBMILPNB,Per million population,NLD,Netherlands,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,POL,Poland,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,TUR,Türkiye,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,SVN,Slovenia,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LTU,Lithuania,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LTU,Lithuania,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LVA,Latvia,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LVA,Latvia,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,CRI,Costa Rica,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,CRI,Costa Rica,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,BGR,Bulgaria,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,BGR,Bulgaria,2010,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ISL,Iceland,2009,,0.0,A
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,NLD,Netherlands,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,POL,Poland,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,TUR,Türkiye,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ISL,Iceland,2009,,0.0,A
HOSPPUHO,Publicly owned hospitals,NBMILPNB,Per million population,NLD,Netherlands,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,POL,Poland,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,TUR,Türkiye,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LTU,Lithuania,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LTU,Lithuania,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LVA,Latvia,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LVA,Latvia,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,CRI,Costa Rica,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,CRI,Costa Rica,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ROU,Romania,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ROU,Romania,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,BGR,Bulgaria,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,BGR,Bulgaria,2009,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ISL,Iceland,2008,,0.0,A
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,NLD,Netherlands,2008,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,POL,Poland,2008,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,TUR,Türkiye,2008,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ISL,Iceland,2008,,0.0,A
HOSPPUHO,Publicly owned hospitals,NBMILPNB,Per million population,NLD,Netherlands,2008,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,POL,Poland,2008,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,TUR,Türkiye,2008,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LTU,Lithuania,2008,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LTU,Lithuania,2008,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,CRI,Costa Rica,2008,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,CRI,Costa Rica,2008,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ROU,Romania,2008,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ROU,Romania,2008,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,BGR,Bulgaria,2008,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,BGR,Bulgaria,2008,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ISL,Iceland,2007,,0.0,A
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,NLD,Netherlands,2007,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,POL,Poland,2007,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,TUR,Türkiye,2007,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ISL,Iceland,2007,,0.0,A
HOSPPUHO,Publicly owned hospitals,NBMILPNB,Per million population,NLD,Netherlands,2007,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,POL,Poland,2007,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,TUR,Türkiye,2007,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,LTU,Lithuania,2007,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,LTU,Lithuania,2007,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,CRI,Costa Rica,2007,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,CRI,Costa Rica,2007,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,ROU,Romania,2007,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NBMILPNB,Per million population,ROU,Romania,2007,,0.0,A
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,BGR,Bulgaria,2007,,0.0,A
