STRUCTURE_ID,STRUCTURE_NAME,Variable,UNIT,Measure,Country,Year,Value
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Sweden,,6084.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),Sweden,,6297.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,PERSMYNB,Number of persons (head counts),Sweden,,8672.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Switzerland,,2033.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),Türkiye,,41594.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),United Kingdom,,26669.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Estonia,,507.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),Israel,,1421.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,PERSMYNB,Number of persons (head counts),Israel,,1651.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Austria,,0.19
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Austria,,0.19
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Canada,,0.01
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Denmark,,0.23
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Denmark,,0.24
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Denmark,,0.36
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Finland,,1.12
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),France,,0.25
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Germany,,0.21
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Germany,,0.21
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Hungary,,0.21
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Iceland,,0.73
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Iceland,,0.73
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Italy,,0.26
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Luxembourg,,0.22
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Netherlands,,0.1
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Netherlands,,0.11
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Netherlands,,0.14
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Poland,,0.57
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Spain,,0.16
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Sweden,,0.69
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Sweden,,0.71
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Sweden,,0.98
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Switzerland,,0.28
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Türkiye,,0.63
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),United Kingdom,,0.45
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Estonia,,0.36
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Israel,,0.23
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Israel,,0.26
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Austria,,19.45
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Austria,,19.45
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Canada,,1.09
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Denmark,,18.66
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Denmark,,19.23
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Denmark,,28.47
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Finland,,102.55
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,France,,18.88
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Germany,,22.16
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Germany,,22.16
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Hungary,,21.56
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Iceland,,47.74
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Iceland,,47.74
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Italy,,27.31
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Luxembourg,,16.95
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Netherlands,,7.99
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Netherlands,,8.83
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Netherlands,,10.7
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Poland,,58.14
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Spain,,16.19
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Sweden,,67.27
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Sweden,,69.63
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Sweden,,95.89
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Switzerland,,25.91
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Türkiye,,29.95
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,United Kingdom,,39.28
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Estonia,,38.8
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Israel,,10.42
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Israel,,12.1
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Latvia,,28.67
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Lithuania,,40.29
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Lithuania,,0.39
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Latvia,,0.25
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Latvia,,482.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Lithuania,,40.41
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Latvia,,0.2
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),Lithuania,,1380.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Lithuania,,0.39
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),Latvia,,582.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Latvia,,23.74
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Lithuania,,1376.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Croatia,,1493.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Croatia,,34.13
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Croatia,,0.33
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Austria,,1579.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),Austria,,1579.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Czechia,,4895.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Denmark,,1315.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),Denmark,,1363.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,PERSMYNB,Number of persons (head counts),Denmark,,1978.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,PERSMYNB,Number of persons (head counts),Finland,,5884.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),France,,15688.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Germany,,17000.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),Germany,,17000.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Hungary,,2036.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Iceland,,219.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),Iceland,,219.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,PERSMYNB,Number of persons (head counts),Italy,,14657.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,PERSMYNB,Number of persons (head counts),Korea,,8801.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Luxembourg,,95.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Netherlands,,1748.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),Netherlands,,1940.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,PERSMYNB,Number of persons (head counts),Netherlands,,2350.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Poland,,21843.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,PERSMYNB,Number of persons (head counts),Spain,,6463.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Sweden,,6219.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),Sweden,,6450.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,PERSMYNB,Number of persons (head counts),Sweden,,8855.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),Türkiye,,41691.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),United Kingdom,,27397.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Estonia,,453.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),Israel,,1429.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,PERSMYNB,Number of persons (head counts),Israel,,1698.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Austria,,0.2
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Austria,,0.2
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Czechia,,0.48
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Denmark,,0.25
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Denmark,,0.25
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Denmark,,0.37
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Finland,,1.13
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),France,,0.26
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Germany,,0.21
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Germany,,0.21
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Hungary,,0.2
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Iceland,,0.77
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Iceland,,0.77
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Italy,,0.26
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Korea,,0.19
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Luxembourg,,0.22
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Netherlands,,0.11
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Netherlands,,0.12
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Netherlands,,0.15
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Poland,,0.57
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Spain,,0.16
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Sweden,,0.7
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Sweden,,0.73
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Sweden,,1.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Türkiye,,0.64
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),United Kingdom,,0.46
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Estonia,,0.33
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Israel,,0.22
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,DENSPPNB,Density per 1 000 population (head counts),Israel,,0.26
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Austria,,20.93
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Austria,,20.93
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Czechia,,53.96
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Denmark,,20.09
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Denmark,,20.82
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Denmark,,30.22
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Finland,,104.72
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,France,,19.51
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Germany,,23.15
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Germany,,23.15
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Hungary,,20.98
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Iceland,,53.53
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Iceland,,53.53
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Italy,,27.38
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Korea,,15.79
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Luxembourg,,17.4
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Netherlands,,8.63
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Netherlands,,9.58
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Netherlands,,11.6
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Poland,,59.32
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Spain,,15.95
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Sweden,,67.99
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Sweden,,70.52
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Sweden,,96.81
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Türkiye,,31.51
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,United Kingdom,,40.94
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Estonia,,35.86
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Israel,,10.46
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Midwives licensed to practice,MILBIRNB,Per 1 000 live births,Israel,,12.43
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Latvia,,27.78
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Lithuania,,43.13
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Lithuania,,0.39
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Latvia,,0.23
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Latvia,,474.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,MILBIRNB,Per 1 000 live births,Lithuania,,43.29
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,DENSPPNB,Density per 1 000 population (head counts),Latvia,,0.2
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),Lithuania,,1350.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,DENSPPNB,Density per 1 000 population (head counts),Lithuania,,0.39
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Professionally active midwives,PERSMYNB,Number of persons (head counts),Latvia,,548.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Latvia,,24.03
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Lithuania,,1345.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Bulgaria,,3518.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,PERSMYNB,Number of persons (head counts),Croatia,,1491.0
OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,Practising midwives,MILBIRNB,Per 1 000 live births,Croatia,,36.37
